Date,ISIN,Buy/Sell,Qty,USD Price,ECB Rate (EUR/USD),EUR Amount,Fees EUR
2017-09-26,US78462F1030,BUY,9.0,249.51,1.178700,1905.38,0.00
2017-09-28,US78462F1030,BUY,7.0,249.97,1.177800,1484.70,0.00
2017-10-04,US78462F1030,BUY,46.0,253.16,1.178700,9903.21,0.00
2018-02-05,US78462F1030,SELL,62.0,272.05,1.244000,13579.72,0.00
2018-02-12,US01609W1027,BUY,13.0,176.71,1.226300,1872.94,0.54
2018-02-12,US30303M1027,BUY,14.0,173.12,1.226300,1976.27,0.55
2018-02-12,US0378331005,BUY,15.0,159.91,1.226300,1955.86,0.55
2018-02-14,US30303M1027,BUY,13.0,179.27,1.234800,1870.24,0.54
2018-02-14,US02079K1079,BUY,1.0,1069.3,1.234800,858.65,0.50
2018-02-14,US0231351067,BUY,1.0,1449.65,1.234800,1163.93,0.50
2018-02-14,US01609W1027,BUY,6.0,186.52,1.234800,898.76,0.52
2018-02-14,US02079K1079,BUY,4.0,1070.42,1.234800,3439.05,0.51
2018-02-14,US0378331005,BUY,14.0,167.17,1.234800,1879.79,0.55
2018-02-14,US0231351067,BUY,3.0,1447.07,1.234800,3487.29,0.51
2018-02-15,US01609W1027,BUY,1.0,187.02,1.249300,149.52,0.50
2018-02-15,US5949181045,BUY,4.0,91.75,1.249300,294.01,0.51
2018-02-15,US5949181045,BUY,5.0,91.74,1.249300,367.42,0.52
2018-02-15,US01609W1027,BUY,10.0,187.14,1.249300,1499.18,0.53
2018-02-26,US5949181045,BUY,19.0,94.58,1.232000,1460.26,0.56
2018-03-27,US01609W1027,BUY,9.0,190.61,1.237600,1383.72,0.53
2018-03-27,US0378331005,BUY,10.0,173.35,1.237600,1398.41,0.53
2018-03-27,US30303M1027,BUY,1.0,160.37,1.237600,129.40,0.00
2018-03-27,US30303M1027,BUY,10.0,160.37,1.237600,1294.03,0.53
2018-03-27,US02079K1079,BUY,2.0,1046.93,1.237600,1689.75,0.51
2018-03-28,US30303M1027,BUY,12.0,151.83,1.239800,1475.42,0.54
2018-03-29,US0231351067,BUY,1.0,1432.0,1.232100,1164.65,0.50
2018-05-29,US02079K1079,BUY,7.0,1064.0,1.155800,6443.27,0.52
2018-05-29,US02079K1079,SELL,7.0,1064.0,1.155800,6430.61,0.52
2018-06-26,US01609W1027,BUY,3.0,191.52,1.167200,493.55,0.51
2018-07-12,US01609W1027,BUY,3.0,191.38,1.165800,491.29,0.51
2018-08-01,US30303M1027,BUY,3.0,172.07,1.169600,442.60,0.51
2018-10-03,US0231351067,BUY,2.0,1962.82,1.154800,3410.21,0.51
2018-10-08,US01609W1027,BUY,11.0,149.64,1.147800,1433.71,0.54
2018-10-11,US02079K1079,BUY,2.0,1088.73,1.157500,1881.55,0.51
2018-10-11,US0231351067,BUY,2.0,1714.78,1.157500,2963.83,0.51
2018-10-29,US01609W1027,BUY,4.0,139.84,1.138100,491.57,0.51
2018-10-29,US0231351067,BUY,1.0,1631.77,1.138100,1434.00,0.50
2018-10-29,US30303M1027,BUY,5.0,148.2,1.138100,651.27,0.52
2019-02-19,US5949181045,SELL,28.0,108.4,1.129400,2678.67,0.60
2019-02-19,US30303M1027,SELL,58.0,163.88,1.129400,8387.80,0.70
2019-02-19,US0378331005,SELL,39.0,170.24,1.129400,5859.47,0.64
2019-02-19,US0231351067,SELL,9.0,1626.67,1.129400,12920.35,0.03
2019-02-19,US0231351067,SELL,1.0,1626.69,1.129400,1435.62,0.50
2019-02-19,US01609W1027,SELL,60.0,170.46,1.129400,9026.22,0.71
2019-02-19,US02079K1079,SELL,9.0,1119.1,1.129400,8888.81,0.53
2019-02-21,IE00B5BMR087,BUY,1.0,272.73,1.135400,240.29,2.09
2019-04-05,IE00B5BMR087,BUY,46.0,283.95,1.123300,11635.23,4.43
2019-04-05,IE00B5BMR087,BUY,100.0,283.95,1.123300,25293.98,9.62
2019-04-05,IE00B5BMR087,BUY,51.0,283.95,1.123300,12899.93,6.91
2019-04-30,IE00B5BMR087,SELL,97.0,288.56,1.121800,24946.84,9.49
2019-04-30,IE00B5BMR087,SELL,100.0,288.59,1.121800,25721.06,11.78
2019-05-14,IE00B5BMR087,BUY,150.0,278.9,1.122600,37326.05,16.20
2019-06-03,US0231351067,BUY,5.0,1718.28,1.118500,7666.79,0.52
2019-06-03,US2546871060,BUY,59.0,132.24,1.118500,6962.49,0.71
2019-08-22,US4523271090,BUY,7.0,288.27,1.108300,1820.71,0.53
2019-09-05,US83088V1026,BUY,50.0,30.21,1.105800,1368.45,0.68
2019-09-27,US2546871060,BUY,5.0,129.67,1.093500,592.48,0.52
2020-08-03,IE00B5BMR087,SELL,25.0,330.58,1.172600,7045.02,4.12
2020-08-03,IE00B5BMR087,SELL,125.0,329.8,1.172600,35183.95,12.57
2020-08-03,US4523271090,SELL,7.0,385.19,1.172600,2302.98,0.52
2020-08-24,US0231351067,BUY,2.0,3315.35,1.184700,5618.29,0.01
2020-08-24,US0231351067,BUY,4.0,3315.35,1.184700,11236.58,0.01
2020-08-24,US0231351067,BUY,10.0,3315.35,1.184700,28091.45,0.53
2020-08-24,US0231351067,BUY,5.0,3308.78,1.184700,14022.64,0.52
2020-09-01,US0231351067,BUY,1.0,3489.15,1.198700,2919.30,0.50
2020-11-16,US0231351067,BUY,3.0,3109.8,1.183000,7880.90,0.51
2020-11-16,US0231351067,BUY,1.0,3112.05,1.183000,2628.65,0.50
2020-11-16,US2546871060,SELL,32.0,143.9,1.183000,3889.52,0.11
2020-11-16,US2546871060,SELL,32.0,143.9,1.183000,3889.52,0.61
2021-04-29,US83088V1026,SELL,50.0,42.56,1.212900,1756.36,0.67
2021-05-10,US0231351067,BUY,3.0,3217.82,1.216900,7941.97,0.51
2021-06-16,US0231351067,SELL,2.0,3392.0,1.212400,5600.60,0.51
2021-08-17,US0231351067,BUY,3.0,3236.5,1.176700,8288.10,0.51
2021-12-02,US0231351067,BUY,2.0,3450.5,1.133900,6105.46,0.00
2021-12-03,US0231351067,SELL,2.0,3384.0,1.129100,5980.39,0.00
2022-06-06,US0231351067,BUY,700.0,122.35,1.072600,82082.16,0.00
2022-06-06,US0231351067,SELL,35.0,2447.0,1.072600,82082.16,0.00
2022-08-03,IE00B5BMR087,BUY,72.0,421.43,1.019400,29856.49,2.50
2023-04-19,IE00B5BMR087,BUY,48.0,430.45,1.093300,18857.10,3.00
2023-06-05,IE00B5BMR087,BUY,10.0,446.0,1.069000,4161.64,3.00
2023-11-07,US0231351067,SELL,700.0,142.8101,1.068600,93550.14,2.00
2023-11-08,IE00B5BMR087,SELL,1.0,457.79,1.067100,428.93,3.00
2023-11-08,IE00B5BMR087,SELL,130.0,457.95,1.067100,55774.66,3.00
2023-12-19,IE00B6YX5C33,BUY,125.0,473.79,1.096200,54135.39,0.00
2023-12-19,IE00B6YX5C33,BUY,106.0,473.79,1.096200,45906.81,3.00
2023-12-22,IE00BCRY6557,BUY,396.0,,,39920.76,3.00
2023-12-22,IE00BCRY6557,BUY,99.0,,,9980.19,3.00
2024-02-01,IE00B6YX5C33,BUY,1.0,486.29,1.081400,450.35,3.00
2024-02-01,IE00B6YX5C33,BUY,2.0,486.26,1.081400,900.82,3.00
2024-02-01,IE00B6YX5C33,BUY,30.0,486.23,1.081400,13508.97,3.00
2024-03-05,IE00BCRY6557,SELL,100.0,,,10151.50,3.00
2024-05-02,IE00BCRY6557,SELL,150.0,,,15332.25,3.00
2024-11-14,IE00BCRY6557,SELL,48.0,,,4917.60,3.00
2025-01-17,IE00BCRY6557,SELL,19.0,,,1921.66,3.00
2025-01-30,IE00BCRY6557,SELL,10.0,,,1013.95,3.00
2025-02-10,IE00BCRY6557,SELL,20.0,,,2029.50,3.00
2025-03-17,IE00BCRY6557,SELL,14.0,,,1423.59,3.00
2025-04-22,IE00BCRY6557,SELL,10.0,,,1020.20,3.00
2025-05-26,IE00BCRY6557,SELL,27.0,,,2762.24,0.00
2025-05-26,IE00BCRY6557,SELL,13.0,,,1329.96,3.00
2025-07-16,IE00BCRY6557,SELL,3.0,,,303.42,0.00
2025-07-16,IE00BCRY6557,SELL,17.0,,,1719.38,3.00
2025-08-15,IE00BCRY6557,SELL,20.0,,,2027.00,3.00
2025-09-12,IE00BCRY6557,SELL,40.0,,,4059.00,3.00
2025-12-01,IE00B6YX5C33,SELL,15.0,680.54,1.164600,8765.38,3.00
2025-12-01,IE00BCRY6557,SELL,4.0,,,407.80,3.00
2025-12-11,IE00B6YX5C33,SELL,40.0,684.82,1.171400,23422.81,3.00
2026-04-21,IE00B6YX5C33,SELL,25.0,711.8,1.176700,15134.47,3.00
2026-06-15,IE00B6YX5C33,SELL,10.0,753.2,1.160700,6486.99,3.00
